epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,16576.4,1.14698,1.50591,0.5673,0.01107,0.28316,0.96103,0.96588,0.98553,0.66569,0.96574,0.96159,0.98527,0.66324,1.17779,1.54971,0.37779,0.01617,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,16787.2,1.13978,1.48752,0.5567,0.011,0.28706,0.96338,0.96109,0.98445,0.66936,0.96587,0.96549,0.98672,0.66406,1.17079,1.53898,0.38575,0.01598,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,16991.6,1.12834,1.48029,0.54617,0.011,0.27961,0.96727,0.96322,0.98481,0.66943,0.97042,0.96269,0.98483,0.66755,1.17011,1.55069,0.36404,0.01599,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,17195,1.13248,1.46555,0.5265,0.01081,0.28069,0.96513,0.97376,0.98567,0.66746,0.96619,0.97483,0.98586,0.66125,1.16857,1.55402,0.37382,0.01602,0,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,17399,1.12884,1.47632,0.55045,0.011,0.28127,0.96877,0.95921,0.98659,0.67277,0.972,0.96227,0.98809,0.66541,1.16644,1.55226,0.36942,0.01597,0,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,17601.7,1.118,1.46633,0.53105,0.01088,0.27581,0.9679,0.96422,0.98647,0.66947,0.96643,0.96688,0.98663,0.66475,1.17081,1.55833,0.363,0.01603,0,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,17808.5,1.12104,1.46863,0.54186,0.01078,0.27702,0.96364,0.95896,0.98261,0.67051,0.96739,0.96269,0.98542,0.66628,1.16263,1.55478,0.38077,0.01589,0,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,18014.7,1.10003,1.4562,0.54026,0.01068,0.27901,0.96769,0.96429,0.98381,0.67094,0.96876,0.96535,0.98416,0.66532,1.16785,1.55315,0.37323,0.01597,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,18217.7,1.10645,1.45285,0.52615,0.01064,0.26639,0.96734,0.96313,0.98323,0.66892,0.96932,0.96269,0.98343,0.66612,1.16869,1.5591,0.37402,0.01602,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,18422.1,1.10247,1.44461,0.5366,0.01061,0.27229,0.96419,0.96109,0.98357,0.66971,0.96265,0.96695,0.98573,0.66436,1.17302,1.57552,0.38118,0.01608,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,18627.2,1.10131,1.44568,0.53578,0.01072,0.26871,0.96165,0.96162,0.98397,0.66695,0.96476,0.96429,0.9849,0.66128,1.17036,1.57434,0.37789,0.01602,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
