epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,6778.57,1.26013,1.60273,0.86601,0.01248,1.19971,0.56094,0.8276,0.64281,0.41391,0.56293,0.84233,0.6456,0.41451,1.20531,1.55341,0.6586,0.01664,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6982.45,1.2337,1.58948,0.83531,0.01226,1.17419,0.59857,0.79454,0.66626,0.43527,0.59934,0.80501,0.66874,0.43169,1.18247,1.5404,0.63711,0.01611,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7190.04,1.24224,1.59711,0.86179,0.01242,1.15489,0.58729,0.80667,0.65035,0.42252,0.58676,0.80605,0.65205,0.42068,1.18631,1.55547,0.65579,0.01631,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7395.6,1.23553,1.59308,0.85254,0.01219,1.15675,0.57336,0.8505,0.6503,0.42045,0.57473,0.85223,0.65024,0.41699,1.18065,1.54286,0.63917,0.01624,0,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7600.8,1.23703,1.58877,0.84753,0.01218,1.14849,0.56276,0.76868,0.63849,0.41431,0.5643,0.77239,0.63971,0.41364,1.1887,1.54093,0.65894,0.01645,0,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7808.34,1.23863,1.59221,0.84172,0.01235,1.14558,0.58061,0.8285,0.65418,0.42664,0.58381,0.83373,0.6565,0.42577,1.18823,1.53722,0.64232,0.01642,0,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,8016.37,1.23772,1.57406,0.85036,0.01226,1.12993,0.58907,0.82239,0.65687,0.426,0.59065,0.8352,0.65713,0.42465,1.1966,1.55253,0.63397,0.01645,0,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8221.52,1.24595,1.59025,0.85291,0.01233,1.12648,0.58867,0.79142,0.64266,0.41811,0.58669,0.79173,0.64286,0.41887,1.18356,1.54251,0.65679,0.01619,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8427.42,1.23144,1.58516,0.85978,0.01214,1.14337,0.55818,0.83461,0.64517,0.42587,0.55808,0.82845,0.64613,0.42177,1.1659,1.55453,0.6554,0.01601,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8810.34,1.23,1.58167,0.83084,0.01226,1.11496,0.57417,0.82311,0.65199,0.42439,0.57697,0.82499,0.65352,0.42279,1.18197,1.54502,0.65376,0.01638,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,9145.74,1.22441,1.58027,0.84283,0.01213,1.11129,0.57361,0.81763,0.65307,0.42074,0.5745,0.82361,0.65218,0.42049,1.18992,1.53716,0.65442,0.01631,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9485.41,1.21567,1.56874,0.82261,0.012,1.1119,0.5708,0.81733,0.64416,0.4146,0.56535,0.81905,0.64152,0.41305,1.178,1.54113,0.65883,0.01617,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9932.29,1.2328,1.5791,0.84332,0.01212,1.10182,0.56862,0.85116,0.65583,0.42443,0.56704,0.84779,0.65377,0.42053,1.19039,1.54721,0.64203,0.0164,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,10348.6,1.22012,1.57942,0.82705,0.01211,1.1208,0.58689,0.83583,0.65817,0.42274,0.58448,0.83898,0.6583,0.42445,1.19114,1.52817,0.63411,0.0164,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,10839.1,1.22178,1.5695,0.82549,0.01204,1.10295,0.56734,0.83029,0.64667,0.42555,0.56777,0.8325,0.64649,0.42187,1.16505,1.5275,0.63687,0.016,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,11263.2,1.21386,1.56316,0.8166,0.01192,1.09683,0.56665,0.82011,0.64522,0.42448,0.56718,0.82014,0.64689,0.41949,1.1663,1.52899,0.64288,0.01591,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,11706.2,1.20957,1.56262,0.81543,0.01182,1.07483,0.57809,0.83081,0.65532,0.42639,0.58264,0.83327,0.6568,0.42301,1.17321,1.54587,0.64833,0.0161,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,12130.9,1.20429,1.55204,0.80057,0.01185,1.06402,0.5561,0.85907,0.64485,0.41996,0.5558,0.86224,0.64454,0.41889,1.17551,1.53935,0.66206,0.01613,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,12598.4,1.21068,1.57069,0.81038,0.01191,1.09671,0.58222,0.85265,0.65874,0.42787,0.58453,0.85421,0.65909,0.4252,1.17844,1.52989,0.64335,0.01617,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13005.4,1.19802,1.55181,0.7984,0.01175,1.05631,0.57741,0.84573,0.65205,0.42902,0.57795,0.84587,0.65285,0.42523,1.16587,1.5274,0.62903,0.01599,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13572.5,1.19706,1.54175,0.80092,0.01178,1.08786,0.57077,0.84062,0.64308,0.41972,0.56993,0.84536,0.64377,0.418,1.17422,1.53109,0.65117,0.01605,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14217.4,1.18682,1.55634,0.80858,0.01162,1.04945,0.59521,0.83647,0.66591,0.42941,0.59495,0.83616,0.66468,0.42713,1.18747,1.54962,0.63282,0.01634,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
